Offset(P)            #Ptr   #Hnd Access Name
------------------ ------ ------ ------ ----
0x0000000021650b80      8      1 RW-rw- \Device\HarddiskVolume2\Users\IEUser\AppData\Local\Google\Chrome\User Data\Default\Shortcuts
0x0000000023e6ea70      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\msshooks.dll
0x000000003d734508      8      0 R--rwd \Device\HarddiskVolume2\Windows\System32\winmm.dll
0x000000003d734740      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\normaliz.dll
0x000000003d734d58      1      1 RW---- \Device\HarddiskVolume1\Boot\BCD
0x000000003d734ea8     11      3 R--r-- \Device\HarddiskVolume2\Windows\Fonts\verdana.ttf
0x000000003d75a038      7      0 R--r-d \Device\HarddiskVolume2\Windows\System32\urlmon.dll
0x000000003d806540      9      1 R--r-d \Device\HarddiskVolume2\Windows\System32\wbem\en-US\cimwin32.dll.mui
0x000000003d808940      4      0 R--r-d \Device\HarddiskVolume2\Windows\System32\pnpts.dll
0x000000003d808d70      1      1 R--rw- \Device\HarddiskVolume2\Program Files\Google\Chrome\Application\54.0.2840.99
0x000000003d8097b8      4      0 R--r-d \Device\HarddiskVolume2\Windows\System32\srchadmin.dll
0x000000003d80ce90      2      1 ------ \Device\NamedPipe\lsass
0x000000003d80d038      3      3 R--r-- \Device\HarddiskVolume2\Windows\Fonts\arialbd.ttf
0x000000003d80d268      8      0 R--rwd \Device\HarddiskVolume2\Windows\System32\midimap.dll
0x000000003d80eb08      1      1 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\umrdp.dll.mui
0x000000003d80fb10      1      1 ------ \Device\NamedPipe\TermSrv_API_service
0x000000003d80fbc8      2      1 ------ \Device\NamedPipe\TermSrv_API_service
0x000000003d810228      4      0 R--r-d \Device\HarddiskVolume2\Windows\System32\tquery.dll
0x000000003d810f80      1      1 ------ \Device\NamedPipe\TermSrv_API_service
0x000000003d8122d8      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\comsvcs.dll
