Offset(P)            #Ptr   #Hnd Access Name
------------------ ------ ------ ------ ----
0x0000000000059798      3      0 R--rw- \Device\HarddiskVolume2\Users\IEUser\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch
0x0000000000059cb0      6      0 R--r-d \Device\HarddiskVolume2⾈!㨁蹓迈K逰KЃ؅浍浓律蝁Ā
0x000000000015b1f0      1      1 R--r-d \Device\HarddiskVolume2᎘ꅵ뗸褸
0x000000000015b2a8      5      0 R--rwd \Device\HarddiskVolume2\Windows\System32\msacm32.dll
0x000000000079d778      8      0 R--r-d \Device\HarddiskVolume2牵䅥瑣潩獮
0x00000000007fa5e0      4      0 R--r-d \Device\HarddiskVolume2\Windows\System32\rpcss.dll
0x00000000007fac90      1      1 R--rw- \Device\HarddiskVolume2\Windows\System32
0x00000000008b43c0      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\x86_microsoft.vc90.mfcloc_1fc8b3b9a1e18e3b_9.0.30729.4148_none_4973eb1d754a9dc9
0x00000000008b4478      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.18201_none_ec80f00e8593ece5
0x00000000008b4a38      5      0 R--r-d \Device\HarddiskVolume2\Windows\winsxs\x86_microsoft.vc90.mfcloc_1fc8b3b9a1e18e3b_9.0.30729.4148_none_4973eb1d754a9dc9\MFC90ENU.DLL
0x000000000094f3b8      6      0 R--rwd \Device\HarddiskVolume2\Windows\System32\xpsrchvw.exe
0x000000000094f940      6      0 R--r-d \Device\HarddiskVolume2ㄱい㤭䘴ⴲ〰ぁ㥃䔱䉆䈸}؎،䵃慄
0x000000000094fb88      3      3 R--r-- \Device\HarddiskVolume2ꔨꅦ⧨ꈂ焯
0x0000000000961828      1      0 R----- \Device\HarddiskVolume256AD364E35_6.1.7600.16385_EN-US_0DE5D2F8E64C842E.M
0x00000000009bca20      3      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00000000009bcd58      2      1 RWDrwd \Device\clfs\Device\HarddiskVolume2\$Extend\$RmMetadata\$TxfLog\$TxfLog
0x0000000000ab42d8      8      0 RW-rwd \Device\HarddiskVolume2\$MapAttributeValue
0x0000000000b20620     17      1 RW-rw- \Device\HarddiskVolume2�⹇
0x0000000000d1a3b8      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2
0x0000000000d1a4d0      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\wuaueng.dll.mui
0x0000000000d1a740      8      1 R--rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010003.dir
0x0000000000d1aa58      1      1 ------ \Device\NamedPipe\MsFteWds
0x0000000000dbc038      1      1 R--rw- \Device\HarddiskVolume2ࠁ؃瑎て
0x0000000000dbc4b8      8      0 R--rwd \Device\HarddiskVolume2�殺ꂺЂਅ浍浓
0x0000000000fe7a60      1      0 R--rw- \Device\HarddiskVolume2ԁ
0x0000000000fe7ba0      8      0 R--r-d \Device\HarddiskVolume2\AppData\Local\Google\Chrome\User Data\
0x0000000000fef478      6      0 R--r-d \Device\HarddiskVolume2\Windows\System32\srvcli.dll
0x0000000000fefb68      5      0 R--r-d \Device\HarddiskVolume2\Windows\System32\cryptbase.dll
0x00000000010c28d0      2      1 R--rwd \Device\HarddiskVolume2xs\FileMaps\$$_system32_migwiz_dlma
0x00000000010c2d58      5      0 R--r-d \Device\HarddiskVolume2\Windows\System32\dssenh.dll
0x00000000010c2e88      1      1 RW---- \Device\HarddiskVolume2\System Volume Information\Syscache.hve
0x00000000010dd038      2      1 ------ \Device\NamedPipe
0x0000000001194bc8      2      1 R--rwd \Device\HarddiskVolume2슐ꂹẸ
0x00000000011eabc0      1      1 ------ \Device\NamedPipe\lsass
0x00000000011eaf80      6      0 R--r-d \Device\HarddiskVolume2\Windows\System32\msv1_0.dll
0x0000000001316a68      4      0 R--r-d \Device\HarddiskVolume2\Program Files\VMware\VMware Tools\VMware VGAuth\libeay32.dll
0x0000000001316be8      3      1 R--rwd \Device\HarddiskVolume2\Users\IEUser\AppData\Roaming\Microsoft\Windows\Start Menu
0x0000000001333728      1      1 R--rw- \Device\HarddiskVolume2\Windows\System32
0x0000000001433e60     17      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000000144ab98      3      3 R--r-- \Device\HarddiskVolume2؁؇䵃慖
0x0000000001667370      5      0 R--rwd \Device\HarddiskVolume2\Windows\System32\msacm32.drv
0x0000000001667f80      4      0 R--rwd \Device\HarddiskVolume2\Windows\System32\timedate.cpl
0x000000000173a5e8      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\basesrv.dll
0x00000000017e6028      7      0 RW-rwd \Device\HarddiskVolume2\$MapAttributeValue
0x00000000017e63a0      2      1 RW-r-- \Device\HarddiskVolume2\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000001
0x00000000017e64c0      7      0 R--r-d \Device\HarddiskVolume2\Windows\System32\difxapi.dll
0x0000000001830d58      3      3 R--r-- \Device\HarddiskVolume2cryptDISMCORE.DLL.ENCRYP
0x0000000001a0c6e8      1      0 RWDrwd \Device\HarddiskVolume2ﳸ핈ᆀ둂푦螣䪐䜚늅땔週睳
0x0000000001a0ca28      1      1 R--r-- \Device\HarddiskVolume2ࠁ؇䵃慖
0x0000000001a5a5f8      4      0 R--r-d \Device\HarddiskVolume2\Windows\System32\msprivs.dll
0x0000000001a5a8e8      3      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wship6.dll
0x0000000001ae8690      4      0 R--r-d \Device\HarddiskVolume2\Windows\System32\WinSCard.dll
0x0000000001b2e908      1      1 R--rw- \Device\HarddiskVolume2獀픔�蕓gram Files\Google\Chrome\Application\54.0.2840.99\Locales\en-US.pak
0x0000000001b6ea70      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\rasadhlp.dll
0x0000000001b6eb30      6      0 R--r-d \Device\HarddiskVolume2ኘꔠଘ꒶襒ᬁ
0x0000000001b6ee28      1      1 R--r-- \Device\HarddiskVolume2\Windows\Registration\R00000000000c.clb
0x0000000001b76038      1      1 R--r-- \Device\HarddiskVolume2
0x0000000001b76a68      4      0 R--r-d \Device\HarddiskVolume2\Windows\System32\sysntfy.dll
0x0000000001d9e038      6      0 R--r-d \Device\HarddiskVolume2\Users\IEUser\AppData\Roaming\Mi
0x0000000001d9e8c8      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2
0x0000000001d9eeb8     16      1 -W-rw- \Device\HarddiskVolume2⢀ꎑ匐蹖rs\IEUser\AppData\LocalLow\Microsoft\CryptnetUrlCache\Content\23B523C9E7746F715D33C6527C18
0x0000000001e8beb8      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\efsutil.dll
0x0000000001f9a518      9      1 RW-rw- \Device\HarddiskVolume2䴨ꎅ駈ꈝrs\IEUser\AppData\Local\Google\Chrome\User Data\Default\Extensions\aa
0x0000000001f9af80      8      0 R--rwd \Device\HarddiskVolume2\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Accessibility\Desktop.ini
0x0000000001fdbed8      1      0 R--rw- \Device\HarddiskVolume2ò
0x0000000002081228      1      0 R--rw- \Device\HarddiskVolume21.7601.18512_none_d3b70289afa0d233_ea.xml_fed3b08dX86_MICROSOFT-WINDOWS-TABLETPC-SOFTKEYBOARD_31BF3856AD364E
