Offset(V)  Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
---------- -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0x855c8d40 System                    4      0     83      414 ------      0 2016-11-23 08:09:54 UTC+0000                                 
0x869b4d40 smss.exe                240      4      2       29 ------      0 2016-11-23 08:09:54 UTC+0000                                 
0x8724f6b0 csrss.exe               324    308      9      538      0      0 2016-11-23 08:09:58 UTC+0000                                 
0x86ad1d40 wininit.exe             364    308      3       75      0      0 2016-11-23 08:09:58 UTC+0000                                 
0x87d36770 csrss.exe               372    356     11      369      1      0 2016-11-23 08:09:58 UTC+0000                                 
0x86c1fa58 winlogon.exe            420    356      4      116      1      0 2016-11-23 08:09:58 UTC+0000                                 
0x86bc7d40 services.exe            464    364      9      256      0      0 2016-11-23 08:09:58 UTC+0000                                 
0x86ab1ac8 lsass.exe               472    364      7      639      0      0 2016-11-23 08:09:58 UTC+0000                                 
0x8749bd40 lsm.exe                 480    364     10      209      0      0 2016-11-23 08:09:58 UTC+0000                                 
0x875ef030 svchost.exe             584    464     10      366      0      0 2016-11-23 08:09:59 UTC+0000                                 
0x875fa8f0 vmacthlp.exe            648    464      3       53      0      0 2016-11-23 08:09:59 UTC+0000                                 
0x87503d40 svchost.exe             680    464      7      296      0      0 2016-11-23 08:09:59 UTC+0000                                 
0x876165c8 svchost.exe             732    464     16      456      0      0 2016-11-23 08:09:59 UTC+0000                                 
0x87651c88 svchost.exe             844    464     19      481      0      0 2016-11-23 08:09:59 UTC+0000                                 
0x87662030 svchost.exe             892    464     14      620      0      0 2016-11-23 08:09:59 UTC+0000                                 
0x8767c770 svchost.exe             940    464     43     2379      0      0 2016-11-23 08:09:59 UTC+0000                                 
0x876bd320 svchost.exe            1128    464     22      640      0      0 2016-11-23 08:09:59 UTC+0000                                 
0x876f8600 spoolsv.exe            1244    464     14      347      0      0 2016-11-23 08:10:00 UTC+0000                                 
0x87720798 svchost.exe            1280    464     17      303      0      0 2016-11-23 08:10:00 UTC+0000                                 
0x8775e308 vmicsvc.exe            1364    464      4       95      0      0 2016-11-23 08:10:00 UTC+0000                                 
0x877654a0 vmicsvc.exe            1384    464      5      130      0      0 2016-11-23 08:10:00 UTC+0000                                 
0x87775d40 vmicsvc.exe            1412    464      3       66      0      0 2016-11-23 08:10:00 UTC+0000                                 
0x87787c88 vmicsvc.exe            1436    464      4       80      0      0 2016-11-23 08:10:00 UTC+0000                                 
0x87783030 vmicsvc.exe            1464    464      4       81      0      0 2016-11-23 08:10:00 UTC+0000                                 
0x877bdd40 VGAuthService.         1568    464      3       83      0      0 2016-11-23 08:10:01 UTC+0000                                 
0x877e5a88 taskhost.exe           1628    464      9      225      1      0 2016-11-23 08:10:01 UTC+0000                                 
0x874ef030 dwm.exe                1732    844      3       82      1      0 2016-11-23 08:10:02 UTC+0000                                 
0x874ee730 explorer.exe           1744   1712     42     1308      1      0 2016-11-23 08:10:02 UTC+0000                                 
0x87829d40 vmtoolsd.exe           1896    464      9      296      0      0 2016-11-23 08:10:02 UTC+0000                                 
0x87877330 vmtoolsd.exe           1972   1744      6      258      1      0 2016-11-23 08:10:03 UTC+0000                                 
0x87891a60 wlms.exe               2032    464      4       43      0      0 2016-11-23 08:10:03 UTC+0000                                 
0x870e3d40 TPAutoConnSvc.         1808    464      8      129      0      0 2016-11-23 08:10:06 UTC+0000                                 
0x878eb030 sppsvc.exe              800    464      4      152      0      0 2016-11-23 08:10:08 UTC+0000                                 
0x879a88f0 svchost.exe             604    464      6       92      0      0 2016-11-23 08:10:08 UTC+0000                                 
0x879bc318 WmiPrvSE.exe           2088    584     10      220      0      0 2016-11-23 08:10:08 UTC+0000                                 
